primary_location,latitude,longitude
HTI,19.1399952,-72.3570972
BFA,12.0753083,-1.6880314
YEM,16.3471243,47.8915271
PSE,31.7562524,34.9639214
MLI,16.3700359,-2.2900239
PAK,30.3308401,71.247499
MMR,17.1750495,95.9999652
NER,17.7356214,9.3238432
JOR,31.1667049,36.941628
NGA,9.6000359,7.9999721
SYR,34.6401861,39.0494106
SDN,14.5844444,29.4917691
VNM,15.9266657,107.9650855
LKA,7.5554942,80.7137847
AFG,33.7680065,66.2385139
UGA,1.5333554,32.2166578
UKR,49.4871968,31.2718321
COL,4.099917,-72.9088133
BRA,-10.3333333,-53.2
LBY,26.8234472,18.1236723
TCD,15.6134137,19.0156172
MOZ,-19.302233,34.9144977
SOM,8.3676771,49.083416
VEN,8.0018709,-66.1109318
BGD,24.4769288,90.2934413
CMR,4.6125522,13.1535811
CAF,7.0323598,19.9981227
SSD,7.8699431,29.6667897
COD,-2.9814344,23.8222636
